fold,pair,rmsd_additive,rmsd_ridge,rmsd_ensemble,rmsd_adaptive,rmsd_residual
1,g0261+g0760,0.316639341489101,0.30204907036869655,0.30630492801674986,0.3025447247268182,0.3063049280167498
1,g0200+g0605,0.20968440049530077,0.21580157031027727,0.2066549136607442,0.21237793634163735,0.20665491366074457
1,g0698+g0207,0.12653002247126433,0.12124152342825878,0.11879558604489515,0.11902243349331383,0.11879558604489296
1,g0924+g0034,0.2431562456526916,0.2146642811750179,0.2199503335622336,0.21394952616367477,0.2199503335622339
1,g0261+g0013,0.15940069464292755,0.12930564466889918,0.13588037929934946,0.12849488102476217,0.13588037929935
1,g0301+g0139,0.20623210421003893,0.18881313254473606,0.1940795834905376,0.1905674500080713,0.19407958349053772
1,g0186+g0868,0.15510935559142827,0.15549921717422216,0.1487822627701217,0.15137033117133414,0.14878226277012205
1,g0805+g0013,0.31255328507392127,0.2881411474557433,0.29578944367231247,0.2897886595656261,0.2957894436723122
1,g0261+g0160,0.34547528304214487,0.3738506359530359,0.3558625306378661,0.3669014059907809,0.355862530637866
1,g0186+g0216,0.17077103018168607,0.139506995786128,0.1472111314315347,0.14051943742843903,0.14721113143153305
1,g0345+g0552,0.22935611404881293,0.19301745629462275,0.20643700533909326,0.19697868600466503,0.20643700533909332
1,g0880+g0957,0.16637028424356937,0.17432204641102478,0.1599938615102899,0.16629241083465438,0.1599938615102899
1,g0534+g0228,0.1463931135382967,0.122775941884165,0.12770699925219672,0.12398565541958367,0.1277069992521973
1,g0022+g0784,0.18870817517874186,0.12295009930015234,0.14268821109191362,0.12580110832455096,0.14268821109191362
1,g0422+g0751,0.2602517456842535,0.20572803881150412,0.22773055426083433,0.21230654161806206,0.22773055426083416
2,g0761+g0157,0.19922209700283294,0.12970531112610698,0.15394024141937782,0.13518422962493282,0.15394024141937385
2,g0422+g0013,0.10196888879835765,0.08455081634655248,0.08265578941246303,0.08246035872558181,0.08265578941246338
2,g0787+g0317,0.22338384546419643,0.12732989421783536,0.1689341006067664,0.14494632649278344,0.1689341006067666
2,g0422+g0612,0.16275250925617385,0.1500813258682424,0.14784139748409633,0.14772014534985387,0.14784139748409653
2,g0083+g0633,0.26202194967772413,0.24262208822896775,0.24483348698357538,0.24115798825503296,0.24483348698357507
2,g0927+g0495,0.17224584139220397,0.11517669445133108,0.12649518313355934,0.11332507278330242,0.1264951831335597
2,g0691+g0631,0.1535438415158443,0.12970637399692062,0.1306956148568158,0.1271963088830656,0.13069561485681613
2,g0773+g0379,0.1949800162681132,0.14917080346208095,0.16666072316578032,0.15496016436736154,0.16666072316577718
2,g0761+g0707,0.22426554649422642,0.3258869904246032,0.26743032313419624,0.30429354939381553,0.26743032313419557
2,g0681+g0751,0.22338194765299144,0.20081598393072356,0.20115067194562994,0.19862279939360442,0.2011506719456293
2,g0147+g0160,0.3304558271131215,0.33997147386879983,0.32398563304823197,0.3324974893481393,0.32398563304823125
2,g0927+g0852,0.2516511059376226,0.9785529793296582,0.5528696547968095,0.833791427247097,0.552869654796809
2,g0773+g0261,0.23906935891785855,0.19397890331954049,0.21105438456605558,0.19872785502731644,0.21105438456605577
2,g0880+g0744,0.2565508642378068,0.21928583552771483,0.2336180863553094,0.2233133524188658,0.2336180863553091
2,g0974+g0040,0.2452505324160235,2.877087986639797,1.4781865090221689,2.409163433367723,1.4781865090221682
3,g0147+g0241,0.38135851222307887,0.3424281650741627,0.3535962446786188,0.3443696587748686,0.35359624467861817
3,g0013+g0495,0.2012351161231373,0.12387147921609767,0.14959511365291595,0.12841868754297223,0.14959511365291642
3,g0927+g0805,0.15821762939986792,0.1606681287678376,0.15308248822699358,0.15634795911801447,0.15308248822699388
3,g0844+g0957,0.3387070070062969,0.2959376771928869,0.3068509348532648,0.2975948360656841,0.30685093485326487
3,g0534+g0612,0.1773542643980756,0.13874029600118087,0.15132025106621383,0.1409452603853078,0.1513202510662143
3,g0301+g0612,0.17415786904187786,0.15141335202785908,0.15476228634341374,0.15156262670333406,0.1547622863434113
3,g0787+g0655,0.2365904085679036,0.1415936681973973,0.18110887928106328,0.1529904138433403,0.18110887928106364
3,g0922+g0061,0.1265475444528335,0.10946740297233563,0.10409736465432841,0.10417548995155666,0.104097364654329
3,g0022+g0228,0.137880863471578,0.11648163649150362,0.10498079092952835,0.10731596494817593,0.10498079092952588
3,g0852+g0034,0.18786337295058034,0.14252248984226856,0.14930161857050317,0.14007525309133964,0.14930161857050298
3,g0228+g0827,0.22257365471537177,0.20916860913627425,0.20696956891983748,0.2069344199527781,0.20696956891983784
3,g0013+g0139,0.1747717607063452,0.15237371665074734,0.15766857475839696,0.1530534576513877,0.1576685747583972
3,g0681+g0160,0.19931799986056356,0.1917629503748095,0.18687795620109243,0.18780144543616992,0.18687795620109263
3,g0697+g0062,0.119943267319217,0.09924749211891158,0.09265350235495107,0.09231134075028184,0.09265350235495164
3,g0109+g0655,0.23559147026596658,0.2056715591272638,0.2132753501829023,0.20601309200412238,0.21327535018290253
4,g0707+g0157,0.1527041558243731,0.1118676595022083,0.11771681858217664,0.10955076849657956,0.11771681858217664
4,g0974+g0160,0.15497446009724433,0.12651757686665976,0.13258443579576726,0.12723709804767905,0.13258443579576726
4,g0698+g0697,0.19599240809926696,0.1557071909973905,0.17025250450936458,0.1598370538375328,0.17025250450936458
4,g0301+g0751,0.15717095665838407,0.08811905964400849,0.11215436854971939,0.09342187347118178,0.11215436854971939
4,g0317+g0655,0.20233012287883492,0.1459873359904778,0.16681278780564923,0.15151600224903652,0.16681278780564923
4,g0805+g0780,0.32238624305946123,0.34502834356438106,0.3277073124273959,0.33852452521188386,0.3277073124273959
4,g0160+g0241,0.27428836048858307,0.23507399477044574,0.24930225078882304,0.23832017202338918,0.24930225078882304
4,g0301+g0744,0.210347099284133,0.2022244425570858,0.1980026757590137,0.1970905203497644,0.1980026757590137
4,g0927+g0780,0.12636765624229554,0.17132392523438922,0.13857677152045977,0.15878751968789587,0.13857677152045977
4,g0852+g0422,0.18219333652930825,0.1723235317904624,0.16842977519249022,0.16901955908031766,0.16842977519249022
4,g0422+g0301,0.20145411138318572,0.24650880129582747,0.21758280452750234,0.23376463130237202,0.21758280452750234
4,g0927+g0827,0.1727099777607945,0.1425769247448351,0.1477189810583686,0.14060245003654653,0.1477189810583686
4,g0681+g0301,0.2260022916646682,0.3994642405462066,0.28966994264765,0.3600544072228085,0.28966994264765
4,g0261+g0186,0.11206462033496004,0.09671194638674378,0.09736384253703813,0.09489350290075627,0.09736384253703813
4,g0780+g0744,0.20062342491448565,0.2007506819328562,0.1890728713435789,0.19455393897403603,0.1890728713435789
5,g0083+g0599,0.219937430438418,0.18508579308151366,0.19715051388596086,0.18822928567952418,0.19715051388595828
5,g0160+g0495,0.18879789113840006,0.16233364870414585,0.16862299953804719,0.16254168496809476,0.1686229995380471
5,g0965+g0655,0.23775906299958477,0.195750930877629,0.20260376467614252,0.19473655095528022,0.2026037646761416
5,g0422+g0139,0.14715753347625088,0.1386501109596075,0.13784136186707177,0.13733964249511968,0.13784136186707097
5,g0186+g0228,0.1822923769464112,0.15358317390929244,0.16402100054612784,0.15601468910124558,0.1640210005461265
5,g0109+g0787,0.27828760471235797,0.28650831796999143,0.2709813848075188,0.2782894780571232,0.2709813848075189
5,g0698+g0062,0.202320803053422,0.19985634691186016,0.19335017110215394,0.19560842881203735,0.19335017110215397
5,g0520+g0257,0.17276070237948732,2.860732395169667,1.410039098406641,2.3765079580703996,1.410039098406641
5,g0037+g0186,0.1471683390250796,0.10945570442759522,0.12053781917832875,0.1108074408613719,0.12053781917832924
5,g0671+g0784,0.21925731426752412,0.1912106513463157,0.1960556616975488,0.1905708591214399,0.19605566169754882
5,g0805+g0062,0.24626329774598954,0.1898415234199304,0.21030219027426117,0.19456179840509508,0.21030219027426128
5,g0787+g0965,0.28925432670087337,0.8707763709202448,0.5612684905697176,0.7660543062171494,0.5612684905697177
5,g0228+g0780,0.18299600283176834,0.2085076932345043,0.1879622923321871,0.20004484385945218,0.18796229233218748
5,g0691+g0404,0.27704278814722066,0.25452472603662224,0.25379216966598706,0.25067077052183273,0.2537921696659866
5,g0773+g0241,0.2518255889142731,0.20561370448439534,0.22328786025028194,0.21002502455054559,0.22328786025028216
