fold,gene,rmsd_additive,rmsd_ridge,rmsd_ensemble,rmsd_adaptive,rmsd_residual,pairs_evaluated
1,g0001,0.6249781981191629,0.5172599947193905,0.5339916943219961,0.5134769723913434,0.5339916943219961,15
1,g0002,0.48469201474361445,0.32881701022156656,0.38554858649771023,0.3413885607422423,0.38554858649771023,15
1,g0003,0.8356017023470813,0.7472099467386043,0.7729824977337448,0.7520164792411878,0.7729824977337448,15
1,g0004,0.6210277084409461,0.5572971352438167,0.586494440736396,0.5710914597762707,0.586494440736396,15
1,g0005,0.7165107093906462,0.5148074249556833,0.5295177620196978,0.49594927257933763,0.5295177620196978,15
1,g0006,0.34643897955916275,0.3067749352729507,0.2991219598163575,0.29775158777867805,0.2991219598163575,15
1,g0007,0.16607816339816983,0.15777099295204183,0.15483053512359593,0.1551841013337787,0.15483053512359593,15
1,g0008,0.2513500191359953,0.13071964766523744,0.16742229738277065,0.13433475086662272,0.16742229738277065,15
1,g0009,0.6336953690702097,0.5552020452029401,0.5808735071682353,0.5608288645346411,0.5808735071682353,15
1,g0010,0.4532808929911566,0.3663791577609819,0.35912730400847465,0.3501728189911201,0.35912730400847465,15
1,g0011,0.3870071284223625,0.3290063961523912,0.35247103903251464,0.3355073589361527,0.35247103903251464,15
1,g0012,0.5517871779782101,0.5508415062225253,0.5460912990138279,0.5481019034813989,0.5460912990138279,15
1,g0013,0.3568737760041746,0.41684502827537667,0.38415440542843526,0.3987592836837296,0.38415440542843526,15
1,g0014,0.8237943709906823,0.6768734046005396,0.7186547710268338,0.682680522580727,0.7186547710268338,15
1,g0015,0.3284924592092829,0.24328163034051636,0.27347321790432444,0.2506947924906223,0.27347321790432444,15
1,g0016,0.6060700199766923,0.5375778035492161,0.5389019503832697,0.5301682296805956,0.5389019503832697,15
1,g0017,0.6973689138669458,0.6221686411929774,0.639823027222182,0.6232542926010218,0.639823027222182,15
1,g0018,0.3060839696638692,0.2463645462724185,0.2724441570925426,0.25406017342446235,0.2724441570925426,15
1,g0019,0.2356052106306909,0.22809555955226674,0.22678070006534745,0.2260654368544349,0.22678070006534745,15
1,g0020,0.440298056799608,0.3336296735706774,0.37034578427655457,0.3419693516117012,0.37034578427655457,15
1,g0021,0.4424232847361531,0.4307585608752129,0.4362773670396288,0.43252694597046654,0.4362773670396288,15
1,g0022,0.5503921450993565,0.5522416354302211,0.541228774957413,0.545687981522877,0.541228774957413,15
1,g0023,0.293604132013806,0.18939638072169057,0.22530246695661488,0.19634368023117021,0.22530246695661488,15
1,g0024,0.30409037825162627,0.26874385093070974,0.2686442204800466,0.26446884187551384,0.2686442204800466,15
1,g0025,0.4732622948001564,0.4296884886671147,0.4407476080446751,0.4310644542349571,0.4407476080446751,15
